,label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2
25,26,0.254112,217.29612139529027,66.96247324014608,0.8421461226119188,0.43382869581402556,0.1721855710679397,2.3497139956489836,190.0,190.0,190.0,106.74360911723964,106.74360911723964,106.74360911723964,32.0,32.0,32.0
26,27,0.066736,340.050347638456,33.9647566530808,0.3458651466750554,0.2642938827310642,-1.5633396245700313,1.058607214462436,190.0,190.0,190.0,117.91057300407576,117.91057300407576,117.91057300407576,42.0,42.0,42.0
27,28,0.055312,262.1472374891524,20.474110500433902,0.36682565920098453,0.19930152699750237,-0.08304426844332524,0.9764995667241114,200.0,200.0,200.0,121.98611512872432,121.98611512872432,121.98611512872432,65.0,65.0,65.0
28,29,0.15859199999999998,408.4304882970137,59.45944309927361,0.527706782438602,0.38917329270361223,-1.3652029114127782,1.5411168824543142,197.0,197.0,197.0,125.48970944309927,125.48970944309927,125.48970944309927,52.0,52.0,52.0
29,30,0.146032,78.6155363208064,925.4126218910924,0.5003311262769494,0.3794902160516429,-0.5080764782375017,1.4928124086713188,165.0,165.0,165.0,104.04503122603265,104.04503122603265,104.04503122603265,40.0,40.0,40.0
30,31,0.21548799999999999,50.18725868725869,827.4871547371547,0.5757800811555229,0.5160506969508899,-1.5189915334581021,1.9036265504461922,195.0,195.0,195.0,123.18443718443719,123.18443718443719,123.18443718443719,30.0,30.0,30.0
31,32,0.2632,136.1769604863222,377.12844984802433,0.6091588755879292,0.5560004252969895,-1.0979554805118596,1.9761261171703037,172.0,172.0,172.0,105.68656534954407,105.68656534954407,105.68656534954407,42.0,42.0,42.0
32,33,0.106128,467.6353083069501,819.8861751846827,0.43403451337359444,0.3140035939537604,0.5053187432472634,1.2544894654563448,177.0,177.0,177.0,116.57259158751697,116.57259158751697,116.57259158751697,55.0,55.0,55.0
33,34,0.080176,546.2386749151866,859.0939932149272,0.38477850041153033,0.26954338900676317,-1.5402542500739738,1.1032935059634514,170.0,170.0,170.0,108.92316902813809,108.92316902813809,108.92316902813809,47.0,47.0,47.0
34,35,0.133984,571.7901839025556,760.4430379746835,0.4804312443437023,0.3601155114809599,-0.8193965260517189,1.4240285706997458,170.0,170.0,170.0,103.5222116073561,103.5222116073561,103.5222116073561,15.0,15.0,15.0
35,36,0.1888,695.2739830508475,665.3120338983051,0.5349102704328871,0.4528805780709317,-0.1259776978496497,1.6583027406794408,185.0,185.0,185.0,110.62245762711865,110.62245762711865,110.62245762711865,40.0,40.0,40.0
36,37,0.41187199999999996,850.2483490016316,473.5614559863258,0.8066672670440513,0.6617717798559412,-0.950365639867864,2.511184125121572,187.0,187.0,187.0,112.47952762023152,112.47952762023152,112.47952762023152,45.0,45.0,45.0
37,38,0.270912,603.9383416017009,352.97419088117175,0.622674438493379,0.568749728890538,-0.1625493023852733,2.0229200564096437,172.0,172.0,172.0,102.59857075360264,102.59857075360264,102.59857075360264,40.0,40.0,40.0
38,39,0.185664,681.8178214408824,221.72431920027577,0.6661625349872133,0.3719702968309182,1.1956281651108471,1.803037805415735,167.0,167.0,167.0,99.28852119958636,99.28852119958636,99.28852119958636,30.0,30.0,30.0
39,40,0.25491199999999997,576.5719934722571,226.91921918152147,0.7171967521571864,0.5061898311600938,0.34584498179582723,2.264292639411674,167.0,167.0,167.0,97.39593271403464,97.39593271403464,97.39593271403464,37.0,37.0,37.0
40,41,0.178416,913.6572504708098,100.67697964308134,0.6733074136432813,0.374110001790376,1.1281401674584335,1.8893321779309635,190.0,190.0,190.0,108.70926374316205,108.70926374316205,108.70926374316205,7.0,7.0,7.0
41,42,0.089168,838.5287995693523,140.66876009330701,0.46526821252755507,0.2543529067441557,-0.010379733078812,1.242205194208883,177.0,177.0,177.0,106.96285663018124,106.96285663018124,106.96285663018124,37.0,37.0,37.0
42,43,0.182064,515.5910888478777,44.62615344054838,0.5905335875761121,0.4245787805982637,-0.39397307440370244,1.8426072144624361,180.0,180.0,180.0,111.3939713507338,111.3939713507338,111.3939713507338,50.0,50.0,50.0
43,44,0.258272,457.53828521868417,1089.648060958989,0.729623194769118,0.4573853483561452,0.4648588426098828,2.046116015902537,185.0,185.0,185.0,101.41382728286457,101.41382728286457,101.41382728286457,27.0,27.0,27.0
44,45,0.33136,283.65422501207144,1040.200772573636,0.6955036851401142,0.6115853017052827,0.6071896088975498,2.2256652224137046,167.0,167.0,167.0,101.68734910671174,101.68734910671174,101.68734910671174,32.0,32.0,32.0
